Part,Qty,Link,Cost
TF-Luna LiDAR sensor,1,AliExpress TF-Luna 8m LiDAR,$18.30
Seeed XIAO ESP32S3,1,AliExpress XIAO ESP32S3,$15.07
"0.96"" SSD1306 I2C OLED",1,AliExpress 0.96 inch OLED,$2.61
12mm momentary push buttons,1 pack,AliExpress 12mm push buttons,$3.00
JST PH 2.0 2-pin connector kit,1 pack,AliExpress JST PH 2.0 kit,$1.84
SS12D00G3 slide switch,1 pack,AliExpress SS12D00G3 switch,$0.91
3.7V 500mAh LiPo battery with JST PH,1,AliExpress 3.7V 500mAh LiPo,$4.00
2.54mm pin header kit,1 kit,AliExpress 2.54mm pin header kit,$4.00
Dupont jumper wire kit,1 kit,AliExpress jumper wires,$2.74
Custom PCB,,JLCPCB,$9.50
,,total,$61.97
